     radius[mm]      wavelength[nm]           Cabs
      5.000e-02          4.0000e+02     5.8334e-14
      5.000e-02          4.3000e+02     3.9992e-14
      5.000e-02          4.6000e+02     2.7481e-14
      5.000e-02          4.9000e+02     2.9997e-14
      5.000e-02          5.2000e+02     3.5873e-14
      5.000e-02          5.5000e+02     4.6653e-14
      5.000e-02          5.8000e+02     5.7450e-14
      5.000e-02          6.1000e+02     9.3130e-14
      5.000e-02          6.4000e+02     1.5713e-13
      5.000e-02          6.7000e+02     2.3246e-13
      2.450e-01          4.0000e+02     6.8628e-12
      2.450e-01          4.3000e+02     4.7050e-12
      2.450e-01          4.6000e+02     3.2331e-12
      2.450e-01          4.9000e+02     3.5291e-12
      2.450e-01          5.2000e+02     4.2204e-12
      2.450e-01          5.5000e+02     5.4887e-12
      2.450e-01          5.8000e+02     6.7588e-12
      2.450e-01          6.1000e+02     1.0956e-11
      2.450e-01          6.4000e+02     1.8485e-11
      2.450e-01          6.7000e+02     2.7347e-11
      4.400e-01          4.0000e+02     3.9751e-11
      4.400e-01          4.3000e+02     2.7253e-11
      4.400e-01          4.6000e+02     1.8727e-11
      4.400e-01          4.9000e+02     2.0442e-11
      4.400e-01          5.2000e+02     2.4446e-11
      4.400e-01          5.5000e+02     3.1792e-11
      4.400e-01          5.8000e+02     3.9149e-11
      4.400e-01          6.1000e+02     6.3462e-11
      4.400e-01          6.4000e+02     1.0707e-10
      4.400e-01          6.7000e+02     1.5839e-10
      6.350e-01          4.0000e+02     1.1948e-10
      6.350e-01          4.3000e+02     8.1917e-11
      6.350e-01          4.6000e+02     5.6290e-11
      6.350e-01          4.9000e+02     6.1445e-11
      6.350e-01          5.2000e+02     7.3479e-11
      6.350e-01          5.5000e+02     9.5560e-11
      6.350e-01          5.8000e+02     1.1767e-10
      6.350e-01          6.1000e+02     1.9075e-10
      6.350e-01          6.4000e+02     3.2182e-10
      6.350e-01          6.7000e+02     4.7607e-10
      8.300e-01          4.0000e+02     2.6682e-10
      8.300e-01          4.3000e+02     1.8293e-10
      8.300e-01          4.6000e+02     1.2570e-10
      8.300e-01          4.9000e+02     1.3721e-10
      8.300e-01          5.2000e+02     1.6409e-10
      8.300e-01          5.5000e+02     2.1340e-10
      8.300e-01          5.8000e+02     2.6278e-10
      8.300e-01          6.1000e+02     4.2596e-10
      8.300e-01          6.4000e+02     7.1862e-10
      8.300e-01          6.7000e+02     1.0631e-09
      1.025e+00          4.0000e+02     5.0251e-10
      1.025e+00          4.3000e+02     3.4452e-10
      1.025e+00          4.6000e+02     2.3674e-10
      1.025e+00          4.9000e+02     2.5842e-10
      1.025e+00          5.2000e+02     3.0903e-10
      1.025e+00          5.5000e+02     4.0190e-10
      1.025e+00          5.8000e+02     4.9490e-10
      1.025e+00          6.1000e+02     8.0222e-10
      1.025e+00          6.4000e+02     1.3534e-09
      1.025e+00          6.7000e+02     2.0020e-09
      1.220e+00          4.0000e+02     8.4732e-10
      1.220e+00          4.3000e+02     5.8092e-10
      1.220e+00          4.6000e+02     3.9919e-10
      1.220e+00          4.9000e+02     4.3574e-10
      1.220e+00          5.2000e+02     5.2108e-10
      1.220e+00          5.5000e+02     6.7767e-10
      1.220e+00          5.8000e+02     8.3448e-10
      1.220e+00          6.1000e+02     1.3527e-09
      1.220e+00          6.4000e+02     2.2820e-09
      1.220e+00          6.7000e+02     3.3756e-09
      1.415e+00          4.0000e+02     1.3220e-09
      1.415e+00          4.3000e+02     9.0636e-10
      1.415e+00          4.6000e+02     6.2283e-10
      1.415e+00          4.9000e+02     6.7986e-10
      1.415e+00          5.2000e+02     8.1301e-10
      1.415e+00          5.5000e+02     1.0573e-09
      1.415e+00          5.8000e+02     1.3020e-09
      1.415e+00          6.1000e+02     2.1104e-09
      1.415e+00          6.4000e+02     3.5602e-09
      1.415e+00          6.7000e+02     5.2663e-09
      1.610e+00          4.0000e+02     1.9473e-09
      1.610e+00          4.3000e+02     1.3351e-09
      1.610e+00          4.6000e+02     9.1743e-10
      1.610e+00          4.9000e+02     1.0014e-09
      1.610e+00          5.2000e+02     1.1976e-09
      1.610e+00          5.5000e+02     1.5574e-09
      1.610e+00          5.8000e+02     1.9178e-09
      1.610e+00          6.1000e+02     3.1086e-09
      1.610e+00          6.4000e+02     5.2441e-09
      1.610e+00          6.7000e+02     7.7569e-09
      1.805e+00          4.0000e+02     2.7439e-09
      1.805e+00          4.3000e+02     1.8813e-09
      1.805e+00          4.6000e+02     1.2928e-09
      1.805e+00          4.9000e+02     1.4111e-09
      1.805e+00          5.2000e+02     1.6875e-09
      1.805e+00          5.5000e+02     2.1946e-09
      1.805e+00          5.8000e+02     2.7024e-09
      1.805e+00          6.1000e+02     4.3803e-09
      1.805e+00          6.4000e+02     7.3893e-09
      1.805e+00          6.7000e+02     1.0930e-08
