     radius[mm]      wavelength[nm]           Cabs
      5.000e-02          4.0000e+02     0.0000e+00
      5.000e-02          4.1000e+02     0.0000e+00
      5.000e-02          4.2000e+02     0.0000e+00
      5.000e-02          4.3000e+02     0.0000e+00
      5.000e-02          4.4000e+02     0.0000e+00
      5.000e-02          4.5000e+02     0.0000e+00
      5.000e-02          4.6000e+02     0.0000e+00
      5.000e-02          4.7000e+02     0.0000e+00
      5.000e-02          4.8000e+02     0.0000e+00
      5.000e-02          4.9000e+02     0.0000e+00
      5.000e-02          5.0000e+02     0.0000e+00
      5.000e-02          5.1000e+02     0.0000e+00
      5.000e-02          5.2000e+02     0.0000e+00
      5.000e-02          5.3000e+02     0.0000e+00
      5.000e-02          5.4000e+02     0.0000e+00
      5.000e-02          5.5000e+02     0.0000e+00
      5.000e-02          5.6000e+02     0.0000e+00
      5.000e-02          5.7000e+02     0.0000e+00
      5.000e-02          5.8000e+02     0.0000e+00
      5.000e-02          5.9000e+02     0.0000e+00
      5.000e-02          6.0000e+02     0.0000e+00
      5.000e-02          6.1000e+02     0.0000e+00
      5.000e-02          6.2000e+02     0.0000e+00
      5.000e-02          6.3000e+02     0.0000e+00
      5.000e-02          6.4000e+02     0.0000e+00
      5.000e-02          6.5000e+02     0.0000e+00
      5.000e-02          6.6000e+02     0.0000e+00
      5.000e-02          6.7000e+02     0.0000e+00
      5.000e-02          6.8000e+02     0.0000e+00
      5.000e-02          6.9000e+02     0.0000e+00

      8.900e-02          4.0000e+02     0.0000e+00
      8.900e-02          4.1000e+02     0.0000e+00
      8.900e-02          4.2000e+02     0.0000e+00
      8.900e-02          4.3000e+02     0.0000e+00
      8.900e-02          4.4000e+02     0.0000e+00
      8.900e-02          4.5000e+02     0.0000e+00
      8.900e-02          4.6000e+02     0.0000e+00
      8.900e-02          4.7000e+02     0.0000e+00
      8.900e-02          4.8000e+02     0.0000e+00
      8.900e-02          4.9000e+02     0.0000e+00
      8.900e-02          5.0000e+02     0.0000e+00
      8.900e-02          5.1000e+02     0.0000e+00
      8.900e-02          5.2000e+02     0.0000e+00
      8.900e-02          5.3000e+02     0.0000e+00
      8.900e-02          5.4000e+02     0.0000e+00
      8.900e-02          5.5000e+02     0.0000e+00
      8.900e-02          5.6000e+02     0.0000e+00
      8.900e-02          5.7000e+02     0.0000e+00
      8.900e-02          5.8000e+02     0.0000e+00
      8.900e-02          5.9000e+02     0.0000e+00
      8.900e-02          6.0000e+02     0.0000e+00
      8.900e-02          6.1000e+02     0.0000e+00
      8.900e-02          6.2000e+02     0.0000e+00
      8.900e-02          6.3000e+02     0.0000e+00
      8.900e-02          6.4000e+02     0.0000e+00
      8.900e-02          6.5000e+02     0.0000e+00
      8.900e-02          6.6000e+02     0.0000e+00
